id_municipio,ano,populacao
1100320,2004,31185
1100320,2005,30082
1100320,2006,31198
1100320,2007,22622
1100320,2008,23283
1100320,2009,23201
1100320,2010,21828
1100320,2011,21878
1100320,2012,21927
1100320,2013,23668
1100320,2014,23803
1100320,2015,23933
1100320,2016,24059
1100320,2017,24181
1100320,2018,22931
1100320,2019,23005
1100338,1991,7250
1100338,1992,7041
1100338,1993,6882
1100338,1994,6716
1100338,1995,6553
1100338,1996,13644
1100338,1997,14848
1100338,1998,15986
1100338,1999,17020
1100338,2001,15692
1100338,2002,16362
1100338,2003,17098
1100338,2004,20333
1100338,2005,19496
1100338,2006,20343
1100338,2007,21162
1100338,2008,21650
1100338,2009,22337
1100338,2010,22546
1100338,2011,23142
1100338,2012,23719
1100338,2013,26227
1100338,2014,26925
1100338,2015,27600
1100338,2016,28255
1100338,2017,28891
1100338,2018,29757
1100338,2019,30583
1100346,1991,21045
1100346,1992,21774
1100346,1993,23073
1100346,1994,24368
1100346,1995,25629
1100346,1996,19626
1100346,1997,19373
1100346,1998,19127
1100346,1999,18906
1100346,2001,19770
1100346,2002,19750
1100346,2003,19711
1100346,2004,19543
1100346,2005,19586
1100346,2006,19542
1100346,2007,16485
1100346,2008,17009
1100346,2009,17127
1100346,2010,16853
1100346,2011,16624
1100346,2012,16404
1100346,2013,17399
1100346,2014,17228
1100346,2015,17063
1100346,2016,16902
1100346,2017,16747
1100346,2018,14722
1100346,2019,14411
1100379,1996,
1100379,1997,9678
1100379,1998,9596
1100379,1999,9682
1100379,2001,13153
1100379,2002,13490
1100379,2003,13852
1100379,2004,15449
1100379,2005,15035
1100379,2006,15454
1100379,2007,11615
1100379,2008,11962
1100379,2009,11875
1100379,2010,12816
1100379,2011,12824
1100379,2012,12833
1100379,2013,13827
1100379,2014,13884
1100379,2015,13940
1100379,2016,13993
1100379,2017,14045
1100379,2018,13227
1100379,2019,13241
1100403,1992,8060
1100403,1993,9478
1100403,1994,10010
1100403,1995,10458
1100403,1996,10723
1100403,1997,11166
1100403,1998,11585
1100403,1999,11966
1100403,2001,13693
1100403,2002,14084
1100403,2003,14532
1100403,2004,16504
1100403,2005,15993
1100403,2006,16510
1100403,2007,16758
1100403,2008,17169
1100403,2009,17569
1100403,2010,17135
1100403,2011,17443
1100403,2012,17742
1100403,2013,19459
1100403,2014,19841
1100403,2015,20210
1100403,2016,20569
1100403,2017,20916
1100403,2018,20999
1100403,2019,21428
1100452,1996,
1100452,1997,10357
1100452,1998,11140
1100452,1999,12013
1100452,2001,28132
1100452,2002,30521
1100452,2003,32774
1100452,2004,42686
1100452,2005,40120
1100452,2006,42717
1100452,2007,33072
1100452,2008,33879
1100452,2009,34693
1100452,2010,32383
1100452,2011,32898
1100452,2012,33397
1100452,2013,36555
1100452,2014,37207
1100452,2015,37838
1100452,2016,38450
1100452,2017,39044
1100452,2018,38937
1100452,2019,39654
1100502,1992,12119
1100502,1993,12699
1100502,1994,13285
1100502,1995,13858
1100502,1996,11050
1100502,1997,10814
1100502,1998,10592
1100502,1999,10390
1100502,2001,12367
1100502,2002,12458
1100502,2003,12543
1100502,2004,12915
1100502,2005,12819
1100502,2006,12916
1100502,2007,9648
1100502,2008,9966
1100502,2009,9720
1100502,2010,10240
1100502,2011,10084
1100502,2012,9933
1100502,2013,10515
1100502,2014,10393
1100502,2015,10276
1100502,2016,10161
1100502,2017,10051
1100502,2018,8751
1100502,2019,8538
1100601,1992,5589
1100601,1993,5873
1100601,1994,6157
1100601,1995,6436
1100601,1996,5114
1100601,1997,5077
1100601,1998,5043
1100601,1999,5011
1100601,2001,5355
1100601,2002,5398
1100601,2003,5411
1100601,2004,5464
1100601,2005,5450
1100601,2006,5464
1100601,2007,5553
1100601,2008,5707
1100601,2009,5736
1100601,2010,5736
1100601,2011,5764
1100601,2012,5791
1100601,2013,6268
1100601,2014,6318
1100601,2015,6367
1100601,2016,6414
1100601,2017,6460
1100601,2018,6190
1100601,2019,6230
1100700,1992,4577
1100700,1993,4773
1100700,1994,4953
1100700,1995,5130
1100700,1996,15434
1100700,1997,7107
1100700,1998,7643
1100700,1999,8244
1100700,2001,12633
1100700,2002,13500
1100700,2003,14446
1100700,2004,18606
1100700,2005,17529
1100700,2006,18619
1100700,2007,12455
1100700,2008,12790
1100700,2009,12915
1100700,2010,12665
1100700,2011,12757
1100700,2012,12847
1100700,2013,13939
1100700,2014,14081
1100700,2015,14220
1100700,2016,14354
1100700,2017,14484
1100700,2018,14009
1100700,2019,14139
1100809,1992,7711
1100809,1993,8041
1100809,1994,8345
1100809,1995,8642
1100809,1996,10636
1100809,1997,11575
1100809,1998,12462
1100809,1999,13268
1100809,2001,13816
1100809,2002,14314
1100809,2003,14874
1100809,2004,17338
1100809,2005,16700
1100809,2006,17346
1100809,2007,16736
1100809,2008,17147
1100809,2009,17547
1100809,2010,19779
1100809,2011,20291
1100809,2012,20787
1100809,2013,22973
1100809,2014,23573
1100809,2015,24155
1100809,2016,24719
1100809,2017,25266
1100809,2018,25983
1100809,2019,26693
1100908,1992,4647
1100908,1993,4869
1100908,1994,5094
1100908,1995,5314
1100908,1996,4239
1100908,1997,4209
1100908,1998,4180
1100908,1999,4154
1100908,2001,4189
1100908,2002,4178
1100908,2003,4162
1100908,2004,4092
1100908,2005,4110
1100908,2006,4092
1100908,2007,3624
1100908,2008,3737
1100908,2009,3685
1100908,2010,3575
1100908,2011,3526
1100908,2012,3479
1100908,2013,3689
1100908,2014,3653
1100908,2015,3617
1100908,2016,3583
1100908,2017,3550
1100908,2018,3119
1100908,2019,3052
1100924,1996,
1100924,1997,4175
1100924,1998,4216
1100924,1999,4255
1100924,2001,5701
1100924,2002,5842
1100924,2003,5991
1100924,2004,6647
1100924,2005,6477
1100924,2006,6649
1100924,2007,7456
1100924,2008,7633
1100924,2009,7843
1100924,2010,8301
1100924,2011,8514
1100924,2012,8721
1100924,2013,9636
1100924,2014,9887
1100924,2015,10129
1100924,2016,10364
1100924,2017,10593
1100924,2018,10886
1100924,2019,11182
1100940,1996,
1100940,1997,4096
1100940,1998,4147
1100940,1999,4308
1100940,2001,6976
1100940,2002,7305
1100940,2003,7662
1100940,2004,9233
1100940,2005,8827
1100940,2006,9238
1100940,2007,13857
1100940,2008,14122
1100940,2009,14889
1100940,2010,15854
1100940,2011,16569
1100940,2012,17262
1100940,2013,19410
1100940,2014,20204
1100940,2015,20974
1100940,2016,21720
1100940,2017,22443
1100940,2018,24226
1100940,2019,25215
1101005,1992,6981
1101005,1993,7270
1101005,1994,7539
1101005,1995,7802
1101005,1996,9770
1101005,1997,10607
1101005,1998,11346
1101005,1999,12042
1101005,2001,14497
1101005,2002,15106
1101005,2003,15785
1101005,2004,18777
1101005,2005,18002
1101005,2006,18786
1101005,2007,11432
1101005,2008,11793
1101005,2009,11593
1101005,2010,10512
1101005,2011,10272
1101005,2012,10040
1101005,2013,10534
1101005,2014,10327
1101005,2015,10127
1101005,2016,9933
1101005,2017,9745
1101005,2018,8095
1101005,2019,7767
1101104,1992,4755
1101104,1993,4966
1101104,1994,5161
1101104,1995,5357
1101104,1996,5292
1101104,1997,5220
1101104,1998,5481
1101104,1999,5694
1101104,2001,7127
1101104,2002,7356
1101104,2003,7604
1101104,2004,8695
1101104,2005,8413
1101104,2006,8699
1101104,2007,7905
1101104,2008,8110
1101104,2009,8235
1101104,2010,8566
1101104,2011,8700
1101104,2012,8830
1101104,2013,9661
1101104,2014,9831
1101104,2015,9995
1101104,2016,10155
1101104,2017,10310
1101104,2018,10272
1101104,2019,10458
1101203,1992,9592
1101203,1993,9887
1101203,1994,12846
1101203,1995,13256
1101203,1996,10673
1101203,1997,10446
1101203,1998,10230
1101203,1999,10035
1101203,2001,11321
1101203,2002,11308
1101203,2003,11292
1101203,2004,11223
1101203,2005,11241
1101203,2006,11223
1101203,2007,10343
1101203,2008,10653
1101203,2009,10572
1101203,2010,10352
1101203,2011,10276
1101203,2012,10203
1101203,2013,10899
1101203,2014,10860
1101203,2015,10823
1101203,2016,10786
1101203,2017,10751
1101203,2018,9762
1101203,2019,9660
1101302,1992,12403
1101302,1993,12848
1101302,1994,13323
1101302,1995,13787
1101302,1996,12635
1101302,1997,13157
1101302,1998,13651
1101302,1999,14100
1101302,2001,13306
1101302,2002,13438
1101302,2003,13570
1101302,2004,14150
1101302,2005,14000
1101302,2006,14152
1101302,2007,12086
1101302,2008,12446
1101302,2009,12363
1101302,2010,11878
1101302,2011,11780
1101302,2012,11686
1101302,2013,12469
1101302,2014,12414
1101302,2015,12360
1101302,2016,12308
1101302,2017,12258
1101302,2018,11080
1101302,2019,10947
1101401,1992,8161
1101401,1993,6383
1101401,1994,6693
1101401,1995,6995
1101401,1996,8706
1101401,1997,9452
1101401,1998,11555
1101401,1999,12213
1101401,2001,13217
1101401,2002,13838
1101401,2003,14400
1101401,2004,16874
1101401,2005,16233
1101401,2006,16881
1101401,2007,12357
1101401,2008,12710
1101401,2009,12708
1101401,2010,14091
1101401,2011,14203
1101401,2012,14313
1101401,2013,15541
1101401,2014,15710
1101401,2015,15873
1101401,2016,16032
1101401,2017,16186
1101401,2018,15695
1101401,2019,15852
1101435,1996,
1101435,1997,6403
1101435,1998,6392
1101435,1999,6381
1101435,2001,8438
1101435,2002,8601
1101435,2003,8772
1101435,2004,9524
1101435,2005,9329
1101435,2006,9526
1101435,2007,7750
1101435,2008,7978
1101435,2009,7944
1101435,2010,7493
1101435,2011,7436
1101435,2012,7382
1101435,2013,7883
1101435,2014,7853
1101435,2015,7824
1101435,2016,7796
1101435,2017,7769
1101435,2018,7047
1101435,2019,6970
1101450,1996,
1101450,1997,4136
1101450,1998,4129
1101450,1999,4122
1101450,2001,3545
1101450,2002,3503
1101450,2003,3448
1101450,2004,3205
1101450,2005,3268
1101450,2006,3204
1101450,2007,4583
1101450,2008,4696
1101450,2009,4802
1101450,2010,4810
1101450,2011,4901
1101450,2012,4990
1101450,2013,5477
1101450,2014,5589
1101450,2015,5697
1101450,2016,5802
1101450,2017,5904
1101450,2018,5947
1101450,2019,6074
1101468,1996,
1101468,1997,2342
1101468,1998,2334
1101468,1999,2326
1101468,2001,2544
1101468,2002,2557
1101468,2003,2571
1101468,2004,2633
1101468,2005,2617
1101468,2006,2633
1101468,2007,2358
1101468,2008,2427
1101468,2009,2415
1101468,2010,2315
1101468,2011,2299
1101468,2012,2283
1101468,2013,2440
1101468,2014,2432
1101468,2015,2424
1101468,2016,2417
1101468,2017,2410
1101468,2018,2191
1101468,2019,2169
1101476,1996,
1101476,1997,4149
1101476,1998,4142
1101476,1999,4135
1101476,2001,4325
1101476,2002,4334
1101476,2003,4345
1101476,2004,4393
1101476,2005,4381
1101476,2006,4393
1101476,2007,3704
1101476,2008,3819
1101476,2009,3765
1101476,2010,3524
1101476,2011,3464
1101476,2012,3406
1101476,2013,3597
1101476,2014,3548
1101476,2015,3501
1101476,2016,3456
1101476,2017,3411
1101476,2018,2939
1101476,2019,2856
1101484,1996,
1101484,1997,6690
1101484,1998,6679
1101484,1999,6668
1101484,2001,7088
1101484,2002,7116
1101484,2003,7143
1101484,2004,7266
1101484,2005,7234
1101484,2006,7266
1101484,2007,6286
1101484,2008,6477
1101484,2009,6412
1101484,2010,6018
1101484,2011,5938
1101484,2012,5862
1101484,2013,6219
1101484,2014,6160
1101484,2015,6103
1101484,2016,6048
1101484,2017,5994
1101484,2018,5280
1101484,2019,5172
1101492,1996,
1101492,1997,7041
1101492,1998,6387
1101492,1999,6799
1101492,2001,11963
1101492,2002,13636
1101492,2003,14370
1101492,2004,17600
1101492,2005,16764
1101492,2006,17610
1101492,2007,15710
1101492,2008,16091
1101492,2009,16491
1101492,2010,16035
1101492,2011,16340
1101492,2012,16636
1101492,2013,18265
1101492,2014,18640
1101492,2015,19002
1101492,2016,19353
1101492,2017,19694
1101492,2018,19842
1101492,2019,20266
1101500,1992,6230
1101500,1993,6607
1101500,1994,6978
1101500,1995,7343
1101500,1996,8751
1101500,1997,9117
1101500,1998,9752
1101500,1999,10350
1101500,2001,12409
